frame |NNN|EEEEE S|TNE TTTT VV|TNE TTTT VV|TNE TTTT VV|
00174 |...|..... .|... -001 -1|... .... ..|... -016 ..|
00175 |...|..... .|... +001 ..|... .... ..|... +029 -1|
00176 |...|..... .|... .... ..|... .... ..|... -013 ..|
00177 |...|..... .|... .... ..|... .... ..|... -016 -1|
00178 |...|..... .|... .... -1|... .... ..|... +029 ..|
00179 |...|..... .|... .... ..|... .... ..|... -013 ..|
00180 |...|..... .|... -001 -1|... .... ..|... -016 ..|
00181 |...|..... .|... -012 ..|... .... ..|.N. +0A6 +1|
00182 |...|..... .|... .... ..|... .... ..|.n. -028 ..|
00183 |...|..... .|... .... -1|... .... ..|... -02B -1|
00184 |...|..... .|... .... ..|... .... ..|... +053 ..|
00185 |...|..... .|... .... ..|... .... ..|... -028 ..|
00186 |...|..... .|... -001 -1|... .... ..|... -02B ..|
00187 |...|..... .|... +001 ..|... .... ..|... +053 -1|
00188 |...|..... .|... .... ..|... .... ..|... -028 ..|
00189 |...|..... .|... .... ..|... .... ..|... -02B ..|
00190 |...|..... .|... .... -1|... .... ..|... +053 ..|
00191 |...|..... .|... .... ..|... .... ..|... -028 -1|
00192 |...|..... .|... -001 ..|... .... ..|... -02B ..|
00193 |+01|+0010 E|... -00B +8|tNe +205 +7|.N. +093 +5|
00194 |...|..... .|... -005 ..|TnE .... -7|.n. -040 ..|
00195 |...|..... .|... -005 -1|... .... ..|... -028 -1|
00196 |...|..... .|... .... -1|... .... ..|... +068 ..|
00197 |...|..... .|... .... ..|... .... ..|... -040 ..|
00198 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00199 |...|..... .|... +001 ..|... .... ..|... +068 -1|
-------------------------------------------------------
00200 |...|..... .|... .... ..|... .... ..|... -040 ..|
00201 |...|..... .|... .... ..|... .... ..|... -028 -1|
00202 |...|..... .|... .... -1|... .... ..|... +068 ..|
00203 |...|..... .|... .... ..|... .... ..|... -040 ..|
00204 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00205 |...|..... .|... +023 ..|... .... ..|.N. +068 +1|
00206 |...|..... .|... -006 ..|... .... ..|.n. -040 ..|
00207 |...|..... .|... -006 -1|... .... ..|... -028 -1|
00208 |...|..... .|... .... ..|... .... ..|... +068 ..|
00209 |...|..... .|... .... ..|... .... ..|... -040 ..|
00210 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00211 |...|..... .|... +001 ..|... .... ..|... +068 -1|
00212 |...|..... .|... .... ..|... .... ..|... -040 ..|
00213 |...|..... .|... .... ..|... .... ..|... -028 ..|
00214 |...|..... .|... .... -1|... .... ..|... +068 ..|
00215 |...|..... .|... .... ..|... .... ..|... -040 -1|
00216 |...|..... .|... -001 ..|... .... ..|... -028 ..|
00217 |+01|..... .|... -00B +3|tNe .... +7|.N. -034 +3|
00218 |...|..... .|... -005 ..|TnE .... -7|.n. -021 ..|
00219 |...|..... .|... -005 -1|... .... ..|... -013 -1|
00220 |...|..... .|... .... ..|... .... ..|... +034 ..|
00221 |...|..... .|... .... ..|... .... ..|... -021 ..|
00222 |...|..... .|... -001 -1|... .... ..|... -013 ..|
00223 |...|..... .|... +001 ..|... .... ..|... +034 -1|
00224 |...|..... .|... .... ..|... .... ..|... -021 ..|
00225 |...|..... .|... .... ..|... .... ..|... -013 ..|
00226 |...|..... .|... .... -1|... .... ..|... +034 ..|
00227 |...|..... .|... .... ..|... .... ..|... -021 -1|
00228 |...|..... .|... -001 ..|... .... ..|... -013 ..|
00229 |...|..... .|... +017 +8|tNe -92D +7|.N. +0D0 +5|
00230 |...|..... .|... .... ..|TnE .... -7|.n. -040 ..|
00231 |...|..... .|... .... -1|... .... ..|... -028 -1|
00232 |...|..... .|... .... -1|... .... ..|... +068 ..|
00233 |...|..... .|... .... ..|... .... ..|... -040 ..|
00234 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00235 |...|..... .|... +001 ..|... .... ..|... +068 -1|
00236 |...|..... .|... .... ..|... .... ..|... -040 ..|
00237 |...|..... .|... .... ..|... .... ..|... -028 -1|
00238 |...|..... .|... .... -1|... .... ..|... +068 ..|
00239 |...|..... .|... .... ..|... .... ..|... -040 ..|
00240 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00241 |+01|..... .|... -015 ..|tNe +92D +7|.N. +068 +1|
00242 |...|..... .|... .... ..|TnE .... -7|.n. -040 ..|
00243 |...|..... .|... .... -1|... .... ..|... -028 -1|
00244 |...|..... .|... .... ..|... .... ..|... +068 ..|
00245 |...|..... .|... .... ..|... .... ..|... -040 ..|
00246 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00247 |...|..... .|... +001 ..|... .... ..|... +068 -1|
00248 |...|..... .|... .... ..|... .... ..|... -040 ..|
00249 |...|..... .|... .... ..|... .... ..|... -028 ..|
-------------------------------------------------------
00250 |...|..... .|... .... -1|... .... ..|... +068 ..|
00251 |...|..... .|... .... ..|... .... ..|... -040 -1|
00252 |...|..... .|... -001 ..|... .... ..|... -028 ..|
00253 |...|..... .|... +017 +3|... .... ..|.N. +068 +3|
00254 |...|..... .|... .... ..|... .... ..|.n. -040 ..|
00255 |...|..... .|... .... -1|... .... ..|... -028 -1|
00256 |...|..... .|... .... ..|... .... ..|... +068 ..|
00257 |...|..... .|... .... ..|... .... ..|... -040 ..|
00258 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00259 |...|..... .|... +001 ..|... .... ..|... +068 -1|
00260 |...|..... .|... .... ..|... .... ..|... -040 ..|
00261 |...|..... .|... .... ..|... .... ..|... -028 ..|
00262 |...|..... .|... .... -1|... .... ..|... +068 ..|
00263 |...|..... .|... .... ..|... .... ..|... -040 -1|
00264 |...|..... .|... -001 ..|... .... ..|... -028 ..|
00265 |+01|..... .|... -00B +8|tNe .... +7|.N. -034 +5|
00266 |...|..... .|... .... ..|TnE .... -7|.n. -021 ..|
00267 |...|..... .|... .... -1|... .... ..|... -013 -1|
00268 |...|..... .|... .... -1|... .... ..|... +034 ..|
00269 |...|..... .|... .... ..|... .... ..|... -021 ..|
00270 |...|..... .|... -001 -1|... .... ..|... -013 ..|
00271 |...|..... .|... +001 ..|... .... ..|... +034 -1|
00272 |...|..... .|... .... ..|... .... ..|... -021 ..|
00273 |...|..... .|... .... ..|... .... ..|... -013 -1|
00274 |...|..... .|... .... -1|... .... ..|... +034 ..|
00275 |...|..... .|... .... ..|... .... ..|... -021 ..|
00276 |...|..... .|... -001 -1|... .... ..|... -013 ..|
00277 |...|..... .|... +00D ..|... .... ..|.N. +0D0 +1|
00278 |...|..... .|... .... ..|... .... ..|.n. -040 ..|
00279 |...|..... .|... .... -1|... .... ..|... -028 -1|
00280 |...|..... .|... .... ..|... .... ..|... +068 ..|
00281 |...|..... .|... .... ..|... .... ..|... -040 ..|
00282 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00283 |...|..... .|... +001 ..|... .... ..|... +068 -1|
00284 |...|..... .|... .... ..|... .... ..|... -040 ..|
00285 |...|..... .|... .... ..|... .... ..|... -028 ..|
00286 |...|..... .|... .... -1|... .... ..|... +068 ..|
00287 |...|..... .|... .... ..|... .... ..|... -040 -1|
00288 |...|..... .|... -001 ..|... .... ..|... -028 ..|
00289 |+01|..... .|... -031 +8|tNe .... +7|.N. +068 +5|
00290 |...|..... .|... -012 ..|TnE .... -7|.n. -040 ..|
00291 |...|..... .|... +04A -1|... .... ..|... -028 -1|
00292 |...|..... .|... .... -1|... .... ..|... +068 ..|
00293 |...|..... .|... .... ..|... .... ..|... -040 ..|
00294 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00295 |...|..... .|... +001 ..|... .... ..|... +068 -1|
00296 |...|..... .|... .... ..|... .... ..|... -040 ..|
00297 |...|..... .|... .... ..|... .... ..|... -028 -1|
00298 |...|..... .|... .... -1|... .... ..|... +068 ..|
00299 |...|..... .|... .... ..|... .... ..|... -040 ..|
-------------------------------------------------------
00300 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00301 |...|..... .|... -03F ..|... .... ..|.N. +068 +1|
00302 |...|..... .|... -010 ..|... .... ..|.n. -040 ..|
00303 |...|..... .|... +03E -1|... .... ..|... -028 -1|
00304 |...|..... .|... .... ..|... .... ..|... +068 ..|
00305 |...|..... .|... .... ..|... .... ..|... -040 ..|
00306 |...|..... .|... -001 -1|... .... ..|... -028 ..|
00307 |...|..... .|... +001 ..|... .... ..|... +068 -1|
00308 |...|..... .|... .... ..|... .... ..|... -040 ..|
00309 |...|..... .|... .... ..|... .... ..|... -028 ..|
00310 |...|..... .|... .... -1|... .... ..|... +068 ..|
00311 |...|..... .|... .... ..|... .... ..|... -040 -1|
00312 |...|..... .|... -001 ..|... .... ..|... -028 ..|
00313 |+01|..... .|... -025 +3|tNe .... +7|.N. -034 +3|
00314 |...|..... .|... -012 ..|TnE .... -7|.n. -021 ..|
00315 |...|..... .|... +04A -1|... .... ..|... -013 -1|
00316 |...|..... .|... .... ..|... .... ..|... +034 ..|
00317 |...|..... .|... .... ..|... .... ..|... -021 ..|
00318 |...|..... .|... -001 -1|... .... ..|... -013 ..|
00319 |...|..... .|... +001 ..|... .... ..|... +034 -1|
00320 |...|..... .|... .... ..|... .... ..|... -021 ..|
