frame |NNN|EEEEE S|TNE TTTT VV|TNE TTTT VV|TNE TTTT VV|
04125 |...|..... .|... .... -1|... .... ..|... .... -1|
04126 |...|..... .|... +0DC -1|... .... ..|... .... ..|
04127 |...|..... .|... -040 ..|... .... ..|... .... -1|
04128 |...|..... .|... -028 ..|... .... ..|... .... ..|
04129 |-04|-004F C|.N. -0AC +5|TNe .... +F|.N. -209 +5|
04130 |...|..... .|.n. +04A ..|.n. .... ..|.n. -023 ..|
04131 |...|..... .|... .... -1|... .... -2|... +08B -1|
04132 |+05|..... .|... +0CA -4|t.E .... -D|... .... ..|
04133 |...|..... .|... -040 ..|... .... ..|... .... -1|
04134 |...|..... .|... -028 ..|... .... ..|... .... ..|
04135 |...|+004F C|.N. -068 +2|TNe .... +C|.N. -034 -1|
04136 |...|..... .|.n. +0D0 ..|tnE .... -C|.n. -034 ..|
04137 |...|..... .|... .... -1|... .... ..|... +0D0 -1|
04138 |...|..... .|... .... -1|... .... ..|... .... ..|
04139 |...|..... .|... -040 ..|... .... ..|... .... -1|
04140 |...|..... .|... -028 ..|... .... ..|... .... ..|
04141 |-0D|..... C|.N. -068 +5|.Ne +891 +D|.N. -068 +5|
04142 |...|..... .|... +0D0 ..|... .... +2|.n. -045 ..|
04143 |...|..... .|... .... ..|TnE .... -F|... +116 -1|
04144 |+0D|..... .|.n. .... -5|... .... ..|... .... ..|
04145 |...|..... .|... -040 ..|... .... ..|... .... -1|
04146 |...|..... .|... -028 ..|... .... ..|... .... ..|
04147 |...|-004F 8|.N. -0AC +2|.Ne -92D +C|.N. -139 -1|
04148 |...|..... .|.n. +04A ..|tnE .... -C|.n. -023 ..|
04149 |...|..... .|... .... -1|... .... ..|... +08B -1|
-------------------------------------------------------
04150 |...|..... .|... +0CA -1|... .... ..|... .... ..|
04151 |...|..... .|... -040 ..|... .... ..|... .... -1|
04152 |...|..... .|... -028 ..|... .... ..|... .... ..|
04153 |-05|+004F C|.N. -08B +5|TNe +19C +F|.N. -068 +5|
04154 |...|..... .|.n. +08B ..|.n. .... ..|.n. -023 ..|
04155 |...|..... .|... .... -1|.N. .... -2|... +08B -1|
04156 |+0C|..... .|... +068 -4|... -29C -2|... .... ..|
04157 |...|..... .|... -040 ..|... +064 -1|... .... -1|
04158 |+06|..... .|... -028 ..|... +064 ..|... .... ..|
04159 |-0C|..... C|.N. -068 +2|... -12C +2|.N. .... -1|
04160 |...|..... .|.n. +0D0 ..|tnE .... -C|.n. -045 ..|
04161 |...|..... .|... .... -1|... .... ..|... +116 -1|
04162 |...|..... .|... .... -1|... .... ..|... .... ..|
04163 |...|..... .|... -040 ..|... .... ..|... .... -1|
04164 |...|..... .|... -028 ..|... .... ..|... .... ..|
04165 |-0E|-004F C|.N. -0AE +5|.Ne +3AC +D|.N. -0A9 +5|
04166 |...|..... .|... +046 ..|... .... +2|.n. -00E ..|
04167 |...|..... .|... .... ..|TnE .... -F|... -00E -1|
04168 |+0E|..... .|.n. +0D0 -5|... .... ..|... .... ..|
04169 |...|..... .|... -040 ..|... .... ..|... .... -1|
04170 |...|..... .|... -028 ..|... .... ..|... .... ..|
04171 |...|+004F 8|.N. -08B +2|.Ne -448 +C|.N. -040 -3|
04172 |...|..... .|.n. +08B ..|tnE .... -C|.n. -034 ..|
04173 |...|..... .|... .... -1|... .... ..|... +0D0 -1|
04174 |...|..... .|... +068 -1|... .... ..|... .... ..|
04175 |...|..... .|... -040 ..|... .... ..|... .... ..|
04176 |...|..... .|... -028 ..|... .... ..|... .... ..|
04177 |-06|-004F C|.N. -068 +5|TNe +19C +F|.N. -0D0 +3|
04178 |...|..... .|.n. +0D0 ..|.n. .... ..|.n. -023 ..|
04179 |...|..... .|... .... -1|... .... -2|... +08B -1|
04180 |+07|..... .|... .... -4|t.E .... -D|... .... ..|
04181 |...|..... .|... -040 ..|... .... ..|... .... -1|
04182 |...|..... .|... -028 ..|... .... ..|... .... ..|
04183 |...|+004F C|.N. -0AE +2|TNe -09C +C|.N. +028 +2|
04184 |...|..... .|.n. +046 ..|tnE .... -C|.n. -00E ..|
04185 |...|..... .|... .... -1|... .... ..|... -00E -1|
04186 |...|..... .|... +0D0 -1|... .... ..|... .... ..|
04187 |...|..... .|... -040 ..|... .... ..|... .... -1|
04188 |...|..... .|... -028 ..|... .... ..|... .... ..|
04189 |-0F|..... C|.N. -08B +5|.Ne +92D +D|.N. +05C +5|
04190 |...|..... .|... +08B ..|... .... +2|.n. .... ..|
04191 |...|..... .|... .... ..|TnE .... -F|... .... -1|
04192 |+0F|..... .|.n. +068 -5|... .... ..|... .... ..|
04193 |...|..... .|... -040 ..|... .... ..|... .... -1|
04194 |...|..... .|... -028 ..|... .... ..|... .... ..|
04195 |...|-004F 8|.N. -068 +2|.Ne -891 +C|.N. -05C -1|
04196 |...|..... .|.n. +0D0 ..|tnE .... -C|.n. .... ..|
04197 |...|..... .|... .... -1|... .... ..|... .... -1|
04198 |...|..... .|... .... -1|... .... ..|... .... ..|
04199 |...|..... .|... -040 ..|... .... ..|... .... -1|
-------------------------------------------------------
04200 |...|..... .|... -028 ..|... .... ..|... .... ..|
04201 |-07|+004F C|.N. -0A8 +5|TNe .... +F|.N. +195 +5|
04202 |...|..... .|.n. +053 ..|.n. .... ..|.n. .... ..|
04203 |...|..... .|... .... -1|.N. .... -2|... .... -1|
04204 |+0E|..... .|... +0BD -4|... -29C -2|... .... ..|
04205 |...|..... .|... -040 ..|... +064 -1|... .... -1|
04206 |+06|..... .|... -028 ..|... +064 ..|... .... ..|
04207 |-0C|..... C|.N. -08B +2|... -1C8 +2|.N. -139 -1|
04208 |...|..... .|.n. +08B ..|tnE .... -C|.n. .... ..|
04209 |...|..... .|... .... -1|... .... ..|... .... -1|
04210 |...|..... .|... +068 -1|... .... ..|... .... ..|
04211 |...|..... .|... -040 ..|... .... ..|... .... -1|
04212 |...|..... .|... -028 ..|... .... ..|... .... ..|
04213 |...|-004F C|.N. -068 +5|TNe +19C +F|.N. .... +5|
04214 |...|..... .|.n. +0D0 ..|.n. .... ..|.n. .... ..|
04215 |...|..... .|... .... -1|.N. .... -2|... .... -1|
04216 |+06|..... .|... .... -4|... -29C -2|... .... ..|
04217 |...|..... .|... -040 ..|... +064 -1|... .... -1|
04218 |+06|..... .|... -028 ..|... +064 ..|... .... ..|
04219 |-0C|+004F C|.N. -0A8 +2|... -02C +5|.N. +139 -1|
04220 |...|..... .|.n. +053 ..|.n. .... ..|.n. .... ..|
04221 |...|..... .|... .... -1|.N. .... -2|... .... -1|
04222 |+06|..... .|... +0BD -1|... -29C -2|... .... ..|
04223 |...|..... .|... -040 ..|... +064 -1|... .... -1|
04224 |+06|..... .|... -028 ..|... +064 ..|... .... ..|
04225 |-14|-0040 C|.N. -0B5 +5|... +00F +5|.N. -1B8 +5|
04226 |...|..... .|.n. +037 ..|.n. .... ..|.n. -07C ..|
04227 |...|..... .|... .... -1|... .... -2|... +07C -1|
04228 |+07|..... .|... +121 -4|t.E .... -D|... .... ..|
04229 |...|..... .|... -03B ..|... .... ..|... .... -1|
04230 |...|..... .|... -040 ..|... .... ..|... .... ..|
04231 |...|+005D C|.N. -07D +2|TNe .... +C|.N. +0BA -1|
04232 |...|..... .|.n. +0F8 ..|tnE .... -C|.n. -0F8 ..|
04233 |...|..... .|... .... -1|... .... ..|... +0F8 -1|
04234 |...|..... .|... .... -1|... .... ..|... .... ..|
04235 |...|..... .|... -03B ..|... .... ..|... .... -1|
04236 |...|..... .|... -040 ..|... .... ..|... .... ..|
04237 |-0F|..... C|.N. -07D +5|.Ne +A30 +D|.N. .... +5|
04238 |...|..... .|... +0F8 ..|... .... +2|.n. -0F8 ..|
04239 |...|..... .|... .... ..|TnE .... -F|... +0F8 -1|
04240 |+0F|..... .|.n. .... -5|... .... ..|... .... ..|
04241 |...|..... .|... -03B ..|... .... ..|... .... -1|
04242 |...|..... .|... -040 ..|... .... ..|... .... ..|
04243 |...|-005D 8|.N. -0DD +2|.Ne -AEA +C|.N. -0BA -1|
04244 |...|..... .|.n. +037 ..|tnE .... -C|.n. -07C ..|
04245 |...|..... .|... .... -1|... .... ..|... +07C -1|
04246 |...|..... .|... +121 -1|... .... ..|... .... ..|
04247 |...|..... .|... -03B ..|... .... ..|... .... -1|
04248 |...|..... .|... -040 ..|... .... ..|... .... ..|
04249 |-07|+005D C|.N. -090 +5|TNe +1BA +F|.N. .... +5|
-------------------------------------------------------
04250 |...|..... .|.n. +0D0 ..|.n. .... ..|.n. -07C ..|
04251 |...|..... .|... .... -1|.N. .... -2|... +07C -1|
04252 |+0C|..... .|... +03B -4|... -29C -2|... .... ..|
04253 |...|..... .|... -03B ..|... +064 -1|... .... -1|
04254 |+06|..... .|... -040 ..|... +064 ..|... .... ..|
04255 |-0C|..... C|.N. -07D +2|... -12C +2|.N. +0BA -1|
04256 |...|..... .|.n. +0F8 ..|tnE .... -C|.n. -0F8 ..|
04257 |...|..... .|... .... -1|... .... ..|... +0F8 -1|
04258 |...|..... .|... .... -1|... .... ..|... .... ..|
04259 |...|..... .|... -03B ..|... .... ..|... .... -1|
04260 |...|..... .|... -040 ..|... .... ..|... .... ..|
04261 |-0E|-005D C|.N. -0D6 +5|.Ne +45E +D|.N. -089 +5|
04262 |...|..... .|... +046 ..|... .... +2|.n. -00E ..|
04263 |...|..... .|... .... ..|TnE .... -F|... -00C -1|
04264 |+0E|..... .|.n. +10B -5|... .... ..|... .... ..|
04265 |...|..... .|... -03B ..|... .... ..|... .... -1|
04266 |...|..... .|... -040 ..|... .... ..|... .... ..|
04267 |...|+005D 8|.N. -090 +2|.Ne -518 +C|.N. +0A3 -3|
04268 |...|..... .|.n. +0D0 ..|tnE .... -C|.n. -0F8 ..|
04269 |...|..... .|... .... -1|... .... ..|... +0F8 -1|
04270 |...|..... .|... +03B -1|... .... ..|... .... ..|
04271 |...|..... .|... -03B ..|... .... ..|... .... ..|
04272 |...|..... .|... -040 ..|... .... ..|... .... ..|
04273 |-06|-005D C|.N. -07D +5|TNe +1BA +F|.N. -0BA +3|
04274 |...|..... .|.n. +0F8 ..|.n. .... ..|.n. -07C ..|
04275 |...|..... .|... .... -1|... .... -2|... +07C -1|
04276 |+05|..... .|... .... -4|t.E .... -D|... .... ..|
04277 |...|..... .|... -03B ..|... .... ..|... .... -1|
04278 |...|..... .|... -040 ..|... .... ..|... .... ..|
04279 |...|+005D C|.N. -0D6 +2|TNe -0BA +C|.N. +031 +2|
04280 |...|..... .|.n. +046 ..|tnE .... -C|.n. -00E ..|
04281 |...|..... .|... .... -1|... .... ..|... -00C -1|
04282 |...|..... .|... +10B -1|... .... ..|... .... ..|
04283 |...|..... .|... -03B ..|... .... ..|... .... -1|
04284 |...|..... .|... -040 ..|... .... ..|... .... ..|
04285 |-0D|..... C|.N. -090 +5|.Ne +AEA +D|.N. +068 +5|
04286 |...|..... .|... +0D0 ..|... .... +2|.n. -0D0 ..|
04287 |...|..... .|... .... ..|TnE .... -F|... +0D0 -1|
04288 |+0D|..... .|.n. +03B -5|... .... ..|... .... ..|
04289 |...|..... .|... -03B ..|... .... ..|... .... -1|
04290 |...|..... .|... -040 ..|... .... ..|... .... ..|
04291 |...|-005D 8|.N. -07D +2|.Ne -A30 +C|.N. -068 -1|
04292 |...|..... .|.n. +0F8 ..|tnE .... -C|.n. -08B ..|
04293 |...|..... .|... .... -1|... .... ..|... +08B -1|
04294 |...|..... .|... .... -1|... .... ..|... .... ..|
04295 |...|..... .|... -03B ..|... .... ..|... .... -1|
04296 |...|..... .|... -040 ..|... .... ..|... .... ..|
04297 |-05|+005D C|.N. -0DA +5|TNe .... +F|.N. +1A1 +5|
04298 |...|..... .|.n. +03E ..|.n. .... ..|.n. -1A1 ..|
04299 |...|..... .|... .... -1|.N. .... -2|... +1A1 -1|
-------------------------------------------------------
04300 |+0A|..... .|... +117 -4|... -29C -2|... .... ..|
04301 |...|..... .|... -03B ..|... +064 -1|... .... -1|
04302 |+06|..... .|... -040 ..|... +064 ..|... .... ..|
04303 |-0C|..... C|.N. -090 +2|... -1E6 +2|.N. -139 -1|
04304 |...|..... .|.n. +0D0 ..|tnE .... -C|.n. -0D0 ..|
04305 |...|..... .|... .... -1|... .... ..|... +0D0 -1|
04306 |...|..... .|... +03B -1|... .... ..|... .... ..|
04307 |...|..... .|... -03B ..|... .... ..|... .... -1|
04308 |...|..... .|... -040 ..|... .... ..|... .... ..|
04309 |-0C|-005D C|.N. -07D +5|.Ne +518 +D|.N. .... +5|
04310 |...|..... .|... +0F8 ..|... .... +2|.n. -0D0 ..|
04311 |...|..... .|... .... ..|TnE .... -F|... +0D0 -1|
04312 |+0C|..... .|.n. .... -5|... .... ..|... .... ..|
04313 |...|..... .|... -03B ..|... .... ..|... .... -1|
04314 |...|..... .|... -040 ..|... .... ..|... .... ..|
04315 |...|+005D 8|.N. -0DA +2|.Ne -45E +C|.N. +139 -1|
04316 |...|..... .|.n. +03E ..|tnE .... -C|.n. -1A1 ..|
04317 |...|..... .|... .... -1|... .... ..|... +1A1 -1|
04318 |...|..... .|... +117 -1|... .... ..|... .... ..|
04319 |...|..... .|... -03B ..|... .... ..|... .... -1|
04320 |...|..... .|... -040 ..|... .... ..|... .... ..|
04321 |-04|-005D C|.N. -0D4 +5|TNe .... +F|.N. -1B8 +5|
04322 |...|..... .|.n. +04A ..|.n. .... ..|.n. -07C ..|
04323 |...|..... .|... .... -1|... .... -2|... +07C -1|
04324 |+03|..... .|... +105 -4|t.E .... -D|... .... ..|
04325 |...|..... .|... -03B ..|... .... ..|... .... -1|
04326 |...|..... .|... -040 ..|... .... ..|... .... ..|
04327 |...|+005D C|.N. -07D +2|TNe .... +C|.N. +07F -1|
04328 |...|..... .|.n. +0F8 ..|tnE .... -C|.n. -0D0 ..|
04329 |...|..... .|... .... -1|... .... ..|... +0D0 -1|
04330 |...|..... .|... .... -1|... .... ..|... .... ..|
04331 |...|..... .|... -03B ..|... .... ..|... .... -1|
04332 |...|..... .|... -040 ..|... .... ..|... .... ..|
04333 |-0B|..... C|.N. -07D +5|.Ne +A30 +D|.N. +03B +5|
04334 |...|..... .|... +0F8 ..|... .... +2|.n. -0F8 ..|
04335 |...|..... .|... .... ..|TnE .... -F|... +0F8 -1|
04336 |+0B|..... .|.n. .... -5|... .... ..|... .... ..|
04337 |...|..... .|... -03B ..|... .... ..|... .... -1|
04338 |...|..... .|... -040 ..|... .... ..|... .... ..|
04339 |...|-005D 8|.N. -0D4 +2|.Ne -AEA +C|.N. -0BA -1|
04340 |...|..... .|.n. +04A ..|tnE .... -C|.n. -07C ..|
04341 |...|..... .|... .... -1|... .... ..|... +07C -1|
04342 |...|..... .|... +105 -1|... .... ..|... .... ..|
04343 |...|..... .|... -03B ..|... .... ..|... .... -1|
04344 |...|..... .|... -040 ..|... .... ..|... .... ..|
04345 |-03|+005D C|.N. -090 +5|TNe +1BA +F|.N. .... +5|
04346 |...|..... .|.n. +0D0 ..|.n. .... ..|.n. -07C ..|
04347 |...|..... .|... .... -1|.N. .... -2|... +07C -1|
04348 |+08|..... .|... +03B -4|... -29C -2|... .... ..|
04349 |...|..... .|... -03B ..|... +064 -1|... .... -1|
-------------------------------------------------------
04350 |+06|..... .|... -040 ..|... +064 ..|... .... ..|
04351 |-0C|..... C|.N. -07D +2|... -12C +2|.N. +0BA -1|
04352 |...|..... .|.n. +0F8 ..|tnE .... -C|.n. -0F8 ..|
04353 |...|..... .|... .... -1|... .... ..|... +0F8 -1|
04354 |...|..... .|... .... -1|... .... ..|... .... ..|
04355 |...|..... .|... -03B ..|... .... ..|... .... -1|
04356 |...|..... .|... -040 ..|... .... ..|... .... ..|
04357 |-0A|-005D C|.N. -0D6 +5|.Ne +45E +D|.N. -089 +5|
04358 |...|..... .|... +046 ..|... .... +2|.n. -00E ..|
04359 |...|..... .|... .... ..|TnE .... -F|... -00C -1|
04360 |+0A|..... .|.n. +10B -5|... .... ..|... .... ..|
04361 |...|..... .|... -03B ..|... .... ..|... .... -1|
04362 |...|..... .|... -040 ..|... .... ..|... .... ..|
04363 |...|+005D 8|.N. -090 +2|.Ne -518 +C|.N. +0A3 -3|
04364 |...|..... .|.n. +0D0 ..|tnE .... -C|.n. -0F8 ..|
04365 |...|..... .|... .... -1|... .... ..|... +0F8 -1|
04366 |...|..... .|... +03B -1|... .... ..|... .... ..|
04367 |...|..... .|... -03B ..|... .... ..|... .... ..|
04368 |...|..... .|... -040 ..|... .... ..|... .... ..|
04369 |-02|-005D C|.N. -07D +5|TNe +1BA +F|.N. -0BA +3|
04370 |...|..... .|.n. +0F8 ..|.n. .... ..|.n. -07C ..|
04371 |...|..... .|... .... -1|... .... -2|... +07C -1|
04372 |+01|..... .|... .... -4|t.E .... -D|... .... ..|
04373 |...|..... .|... -03B ..|... .... ..|... .... -1|
04374 |...|..... .|... -040 ..|... .... ..|... .... ..|
04375 |...|+005D C|.N. -0D6 +2|TNe -0BA +C|.N. +031 +2|
04376 |...|..... .|.n. +046 ..|tnE .... -C|.n. -00E ..|
04377 |...|..... .|... .... -1|... .... ..|... -00C -1|
04378 |...|..... .|... +10B -1|... .... ..|... .... ..|
04379 |...|..... .|... -03B ..|... .... ..|... .... -1|
04380 |...|..... .|... -040 ..|... .... ..|... .... ..|
04381 |-09|..... C|.N. -090 +5|.Ne +AEA +D|.N. +068 +5|
04382 |...|..... .|... +0D0 ..|... .... +2|.n. -0D0 ..|
04383 |...|..... .|... .... ..|TnE .... -F|... +0D0 -1|
04384 |+09|..... .|.n. +03B -5|... .... ..|... .... ..|
04385 |...|..... .|... -03B ..|... .... ..|... .... -1|
04386 |...|..... .|... -040 ..|... .... ..|... .... ..|
04387 |...|-005D 8|.N. -07D +2|.Ne -A30 +C|.N. -068 -1|
04388 |...|..... .|.n. +0F8 ..|tnE .... -C|.n. -08B ..|
04389 |...|..... .|... .... -1|... .... ..|... +08B -1|
04390 |...|..... .|... .... -1|... .... ..|... .... ..|
04391 |...|..... .|... -03B ..|... .... ..|... .... -1|
04392 |...|..... .|... -040 ..|... .... ..|... .... ..|
04393 |-01|+005D C|.N. -0D0 +5|TNe .... +F|.N. +1A1 +5|
04394 |...|..... .|.n. +053 ..|.n. .... ..|.n. -1A1 ..|
04395 |...|..... .|... .... -1|.N. .... -2|... +1A1 -1|
04396 |+06|..... .|... +0F8 -4|... -29C -2|... .... ..|
04397 |...|..... .|... -03B ..|... +064 -1|... .... -1|
04398 |+06|..... .|... -040 ..|... +064 ..|... .... ..|
04399 |-0C|..... C|.N. -090 +2|... -1E6 +2|.N. -139 -1|
-------------------------------------------------------
04400 |...|..... .|.n. +0D0 ..|tnE .... -C|.n. -0D0 ..|
04401 |...|..... .|... .... -1|... .... ..|... +0D0 -1|
04402 |...|..... .|... +03B -1|... .... ..|... .... ..|
04403 |...|..... .|... -03B ..|... .... ..|... .... -1|
04404 |...|..... .|... -040 ..|... .... ..|... .... ..|
04405 |...|-005D C|.N. -07D +5|TNe +1BA +F|.N. .... +5|
04406 |...|..... .|.n. +0F8 ..|.n. .... ..|.n. -0D0 ..|
04407 |...|..... .|... .... -1|.N. .... -2|... +0D0 -1|
04408 |+06|..... .|... .... -4|... -29C -2|... .... ..|
04409 |...|..... .|... -03B ..|... +064 -1|... .... -1|
04410 |+06|..... .|... -040 ..|... +064 ..|... .... ..|
04411 |-0C|+005D C|.N. -0D0 +2|... -02C +5|.N. +139 -1|
04412 |...|..... .|.n. +053 ..|.n. .... ..|.n. -1A1 ..|
04413 |...|..... .|... .... -1|.N. .... -2|... +1A1 -1|
04414 |+06|..... .|... +0F8 -1|... -29C -2|... .... ..|
04415 |...|..... .|... -03B ..|... +064 -1|... .... -1|
04416 |+06|..... .|... -040 ..|... +064 ..|... .... ..|
04417 |-0C|-0067 C|.N. -0DD +5|... -054 +5|.N. -1B8 +5|
04418 |...|..... .|.n. +037 ..|.n. .... ..|.n. -07C ..|
04419 |...|..... .|... .... -1|... .... -2|... +07C -1|
04420 |-01|..... .|... +0F9 -4|t.E .... -D|... .... ..|
04421 |...|..... .|... -045 ..|... .... ..|... .... -1|
04422 |...|..... .|... -02A ..|... .... ..|... .... ..|
04423 |...|+0053 C|.N. -06E +2|TNe .... +C|.N. +092 -1|
04424 |...|..... .|.n. +0DD ..|tnE .... -C|.n. -0DD ..|
04425 |...|..... .|... .... -1|... .... ..|... +0DD -1|
04426 |...|..... .|... .... -1|... .... ..|... .... ..|
04427 |...|..... .|... -045 ..|... .... ..|... .... -1|
04428 |...|..... .|... -02A ..|... .... ..|... .... ..|
04429 |-07|..... C|.N. -06E +5|.Ne +913 +D|.N. +028 +5|
04430 |...|..... .|... +0DD ..|... .... +2|.n. -0F8 ..|
04431 |...|..... .|... .... ..|TnE .... -F|... +0F8 -1|
04432 |+07|..... .|.n. .... -5|... .... ..|... .... ..|
04433 |...|..... .|... -045 ..|... .... ..|... .... -1|
04434 |...|..... .|... -02A ..|... .... ..|... .... ..|
04435 |...|-0053 8|.N. -0C1 +2|.Ne -9B9 +C|.N. -0BA -1|
04436 |...|..... .|.n. +037 ..|tnE .... -C|.n. -07C ..|
04437 |...|..... .|... .... -1|... .... ..|... +07C -1|
04438 |...|..... .|... +0F9 -1|... .... ..|... .... ..|
04439 |...|..... .|... -045 ..|... .... ..|... .... -1|
04440 |...|..... .|... -02A ..|... .... ..|... .... ..|
04441 |+01|+0053 C|.N. -085 +5|TNe +1A6 +F|.N. .... +5|
04442 |...|..... .|.n. +0AF ..|.n. .... ..|.n. -07C ..|
04443 |...|..... .|... .... -1|.N. .... -2|... +07C -1|
04444 |+04|..... .|... +045 -4|... -29C -2|... .... ..|
04445 |...|..... .|... -045 ..|... +064 -1|... .... -1|
04446 |+06|..... .|... -02A ..|... +064 ..|... .... ..|
04447 |-0C|..... C|.N. -06E +2|... -12C +2|.N. +0BA -1|
04448 |...|..... .|.n. +0DD ..|tnE .... -C|.n. -0F8 ..|
04449 |...|..... .|... .... -1|... .... ..|... +0F8 -1|
-------------------------------------------------------
04450 |...|..... .|... .... -1|... .... ..|... .... ..|
04451 |...|..... .|... -045 ..|... .... ..|... .... -1|
04452 |...|..... .|... -02A ..|... .... ..|... .... ..|
04453 |-06|-0053 C|.N. -0BA +5|.Ne +3E3 +D|.N. -089 +5|
04454 |...|..... .|... +046 ..|... .... +2|.n. -00E ..|
04455 |...|..... .|... .... ..|TnE .... -F|... -00C -1|
04456 |+06|..... .|.n. +0E3 -5|... .... ..|... .... ..|
04457 |...|..... .|... -045 ..|... .... ..|... .... -1|
04458 |...|..... .|... -02A ..|... .... ..|... .... ..|
04459 |...|+0053 8|.N. -085 +2|.Ne -489 +C|.N. +07B -3|
04460 |...|..... .|.n. +0AF ..|tnE .... -C|.n. -0DD ..|
04461 |...|..... .|... .... -1|... .... ..|... +0DD -1|
04462 |...|..... .|... +045 -1|... .... ..|... .... ..|
04463 |...|..... .|... -045 ..|... .... ..|... .... ..|
04464 |...|..... .|... -02A ..|... .... ..|... .... ..|
04465 |+02|-0053 C|.N. -06E +5|TNe +1A6 +F|.N. -092 +3|
04466 |...|..... .|.n. +0DD ..|.n. .... ..|.n. -07C ..|
04467 |...|..... .|... .... -1|... .... -2|... +07C -1|
04468 |-03|..... .|... .... -4|t.E .... -D|... .... ..|
04469 |...|..... .|... -045 ..|... .... ..|... .... -1|
04470 |...|..... .|... -02A ..|... .... ..|... .... ..|
04471 |...|+0053 C|.N. -0BA +2|TNe -0A6 +C|.N. +031 +2|
04472 |...|..... .|.n. +046 ..|tnE .... -C|.n. -00E ..|
04473 |...|..... .|... .... -1|... .... ..|... -00C -1|
04474 |...|..... .|... +0E3 -1|... .... ..|... .... ..|
04475 |...|..... .|... -045 ..|... .... ..|... .... -1|
04476 |...|..... .|... -02A ..|... .... ..|... .... ..|
04477 |-05|..... C|.N. -085 +5|.Ne +9B9 +D|.N. +036 +5|
04478 |...|..... .|... +0AF ..|... .... +2|.n. -0AF ..|
04479 |...|..... .|... .... ..|TnE .... -F|... +0AF -1|
04480 |+05|..... .|.n. +045 -5|... .... ..|... .... ..|
04481 |...|..... .|... -045 ..|... .... ..|... .... -1|
04482 |...|..... .|... -02A ..|... .... ..|... .... ..|
04483 |...|-0053 8|.N. -06E +2|.Ne -913 +C|.N. -036 -1|
04484 |...|..... .|.n. +0DD ..|tnE .... -C|.n. -08B ..|
04485 |...|..... .|... .... -1|... .... ..|... +08B -1|
04486 |...|..... .|... .... -1|... .... ..|... .... ..|
04487 |...|..... .|... -045 ..|... .... ..|... .... -1|
04488 |...|..... .|... -02A ..|... .... ..|... .... ..|
04489 |+03|+0053 C|.N. -0BE +5|TNe .... +F|.N. +13E +5|
04490 |...|..... .|.n. +03E ..|.n. .... ..|.n. -15F ..|
04491 |...|..... .|... .... -1|.N. .... -2|... +15F -1|
04492 |+02|..... .|... +0EF -4|... -29C -2|... .... ..|
04493 |...|..... .|... -045 ..|... +064 -1|... .... -1|
04494 |+06|..... .|... -02A ..|... +064 ..|... .... ..|
04495 |-0C|..... C|.N. -085 +2|... -1D2 +2|.N. -108 -1|
04496 |...|..... .|.n. +0AF ..|tnE .... -C|.n. -0AF ..|
04497 |...|..... .|... .... -1|... .... ..|... +0AF -1|
04498 |...|..... .|... +045 -1|... .... ..|... .... ..|
04499 |...|..... .|... -045 ..|... .... ..|... .... -1|
-------------------------------------------------------
04500 |...|..... .|... -02A ..|... .... ..|... .... ..|
04501 |-04|-0053 C|.N. -06E +5|.Ne +489 +D|.N. .... +5|
04502 |...|..... .|... +0DD ..|... .... +2|.n. -0AF ..|
04503 |...|..... .|... .... ..|TnE .... -F|... +0AF -1|
04504 |+04|..... .|.n. .... -5|... .... ..|... .... ..|
04505 |...|..... .|... -045 ..|... .... ..|... .... -1|
04506 |...|..... .|... -02A ..|... .... ..|... .... ..|
04507 |...|+0053 8|.N. -0BE +2|.Ne -3E3 +C|.N. +108 -1|
04508 |...|..... .|.n. +03E ..|tnE .... -C|.n. -15F ..|
04509 |...|..... .|... .... -1|... .... ..|... +15F -1|
04510 |...|..... .|... +0EF -1|... .... ..|... .... ..|
04511 |...|..... .|... -045 ..|... .... ..|... .... -1|
04512 |...|..... .|... -02A ..|... .... ..|... .... ..|
04513 |+04|-0053 C|.N. -0B8 +5|TNe .... +F|.N. -155 +5|
04514 |...|..... .|.n. +04A ..|.n. .... ..|.n. -07C ..|
04515 |...|..... .|... .... -1|... .... -2|... +07C -1|
04516 |-05|..... .|... +0DD -4|t.E .... -D|... .... ..|
04517 |...|..... .|... -045 ..|... .... ..|... .... -1|
04518 |...|..... .|... -02A ..|... .... ..|... .... ..|
04519 |...|+0053 C|.N. -06E +2|TNe .... +C|.N. +04D -1|
04520 |...|..... .|.n. +0DD ..|tnE .... -C|.n. -0AF ..|
04521 |...|..... .|... .... -1|... .... ..|... +0AF -1|
04522 |...|..... .|... .... -1|... .... ..|... .... ..|
04523 |...|..... .|... -045 ..|... .... ..|... .... -1|
04524 |...|..... .|... -02A ..|... .... ..|... .... ..|
04525 |-03|..... C|.N. -06E +5|.Ne +913 +D|.N. +06D +5|
04526 |...|..... .|... +0DD ..|... .... +2|.n. -0F8 ..|
04527 |...|..... .|... .... ..|TnE .... -F|... +0F8 -1|
04528 |+03|..... .|.n. .... -5|... .... ..|... .... ..|
04529 |...|..... .|... -045 ..|... .... ..|... .... -1|
04530 |...|..... .|... -02A ..|... .... ..|... .... ..|
04531 |...|-0053 8|.N. -0BE +2|.Ne -9B9 +C|.N. -0BA -1|
04532 |...|..... .|.n. +03E ..|tnE .... -C|.n. -07C ..|
04533 |...|..... .|... .... -1|... .... ..|... +07C -1|
04534 |...|..... .|... +0EF -1|... .... ..|... .... ..|
